DATE,N_WELLS,MONTHLY_GAS_PROD
2017-01-01,21348,19155598.0
2017-02-01,21098,17405072.0
2017-03-01,21296,19213591.0
2017-04-01,21202,18206375.0
2017-05-01,21199,18601405.0
2017-06-01,21392,18426060.0
2017-07-01,21310,19004432.0
2017-08-01,21289,18740424.0
2017-09-01,21206,18108038.0
2017-10-01,21178,18482660.0
2017-11-01,21120,17769461.0
2017-12-01,20974,17833588.0
2018-01-01,20973,17568707.0
2018-02-01,20980,16020645.0
2018-03-01,20883,17677157.0
2018-04-01,20854,17193625.0
2018-05-01,20830,17626704.0
2018-06-01,20604,15933262.0
2018-07-01,20565,17353636.0
2018-08-01,20429,17029835.0
2018-09-01,20356,16600212.0
2018-10-01,20338,16962272.0
2018-11-01,20226,16155747.0
2018-12-01,20141,16068926.0
2019-01-01,19897,16150937.0
2019-02-01,19924,14314290.0
2019-03-01,19975,15906823.0
2019-04-01,20114,15698512.0
